SHEET Sheet1 (data 670x36)
R1: [1] | [2] | [3]Initial | [4]2026-01-04 | [5]2026-02-04 | [6]2026-03-04 | [7]2026-04-04 | [8]2026-05-04 | [9]2026-06-04 | [10]2026-07-04 | [11]2026-08-04 | [12]2026-09-04 | [13]2026-10-04 | [14]2026-11-04 | [15]2026-12-04 | [16]13/04/26 | [17]14/04/26 | [18]15/04/26 | [19]16/04/26 | [20]17/04/26 | [21]18/04/26 | [22]19/04/26 | [23]20/04/26 | [24]21/04/26 | [25]22/04/26 | [26]23/04/26 | [27]24/04/26 | [28]25/04/26 | [29]26/04/26 | [30]27/04/26 | [31]28/04/26 | [32]29/04/26 | [33]30/04/26 | [34]FINAL  | [35]PRICE | [36]AMOUNT
R18: [1]14 | [2]6mm * 1/4m Connector | [3]119 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]119 | [35]34 | [36]4046
R19: [1]15 | [2]6mm * 1/4m Elbow | [3]110 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]110 | [35]37 | [36]4070
R20: [1]16 | [2]6mm * 1/8m Elbow | [3]71 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]71 | [35]40 | [36]2840
R21: [1]16a | [2]6mm * 1/8m connector | [3]19 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]19 | [35]40 | [36]760
R22: [1]17 | [2]6mm Elbow | [3]14 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]14 | [35]40 | [36]560
R23: [1]18 | [2]6mm Y connector | [3]11 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]11 | [35]98 | [36]1078
R24: [1]19 | [2]6mm * 6mm Straight | [3]32 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]32 | [35]40 | [36]1280
R25: [1]20 | [2]6mm * 3/8m Connetor | [3]2 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]2 | [35]40 | [36]80
R26: [1] | [2] | [3]0 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]{"sharedFormula":"AH3"} | [35] | [36]{"sharedFormula":"AJ3"}
R27: [1]21 | [2]4mm * 4mm Straight | [3]7 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]7 | [35]70 | [36]490
R28: [1]22 | [2]4mm * 1/4m Elbow | [3]30 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]30 | [35]40 | [36]1200
R29: [1]23 | [2]4mm * 1/8m Elbow | [3]28 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]28 | [35]40 | [36]1120
R30: [1]23A | [2]4mm * 1/8m connector | [3]0 | [4] | [5] | [6] | [7] | [8] | [9] | [10] | [11] | [12] | [13] | [14] | [15] | [16] | [17] | [18] | [19] | [20] | [21] | [22] | [23] | [24] | [25] | [26] | [27] | [28] | [29] | [30] | [31] | [32] | [33] | [34]{"sharedFormula":"AH3"} | [35]40 | [36]{"sharedFormula":"AJ3"}
